"№ п/п","Назва комунальних підприємств, установ закладів","Код ЕДРПОУ","Юридична адреса","телефон","Керівник","е-mail",""
"7. 54","Дошкільний навчальний заклад (ясла-садок)  № 36 Кременчуцької міської ради Полтавської області","24830924","вул. Київська, 99-А","5-15-74 ","Завідуюча Сніжко Олена Вікторівна","krdnz36@ukr.net",""
"7. 55","Дошкільний навчальний заклад (ясла-садок)  № 41 Кременчуцької міської ради Полтавської області","24830947","Проспект Свободи, 146","067-739-00-51","Завідуюча Кулієва Ірина Петрівна","krdnz41@ukr.net",""
"7. 56","Дошкільний навчальний заклад (ясла-садок)  № 46 Кременчуцької міської ради Полтавської області","25166598","вул. Олексія Древаля, 37","5-34-29 ","Завідуюча Цвелих Світлана Петрівна ","krdnz46@ukr.net",""
"7. 57","Дошкільний навчальний заклад (ясла-садок)  № 48 Кременчуцької міської ради Полтавської області","24831042","вул. Тараса Бульби, 16","097-170-45-72","Завідуюча Кіктєва Наталія Володимирівна","krdnz48@ukr.net ",""
"7. 58","Дошкільний навчальний заклад (ясла-садок) комбінованого типу № 50 Кременчуцької міської ради Полтавської області","24831007","вул. Героїв Крут, 15","097-220-02-53","Завідуюча Полторацька Леся Валентинівна","krdnz50@ukr.net",""
"7. 59","Дошкільний навчальний заклад (ясла-садок) комбінованого типу № 55 Кременчуцької міської ради Полтавської області","24830982","вул. Довженка, 8","067-539-83-69","Завідуюча Торубара Вікторія Вікторівна","krdnz55@ukr.net",""
"7. 60","Дошкільний навчальний заклад (ясла-садок)  № 57 Кременчуцької міської ради Полтавської області","24831026","пров. Героїв Бресту, 61-А","067-387-34-16","Завідуюча Іщенко Наталія Василівна ","krdnz57@ukr.net",""
"7. 61","Дошкільний навчальний заклад (ясла-садок)  № 58 Кременчуцької міської ради Полтавської області","25166500","проспект  Лесі Українки, 8А","098-309-21-76","Завідуюча  Костюк Лариса Борисівна","krdnz58@ukr.net",""
"7. 62","Дошкільний навчальний заклад (ясла-садок)  № 59 Кременчуцької міської ради Полтавської області","25732046","вул. Олександра Білаша, 26","098-781-13-42","Завідуюча Щіпець Ірина Анатоліївна","krdnz59@ukr.net",""
"7. 63","Дошкільний навчальний заклад (ясла-садок)  № 60 Кременчуцької міської ради Полтавської області","01119105","вул. Велика набережна, 23","3-88-10 ","Завідуюча Нестерова Світлана Олексіївна","krdnz60@ukr.net",""
"7. 64","Дошкільний навчальний заклад (ясла-садок)  комбінованого типу № 61 Кременчуцької міської ради Полтавської області","24832490","вул. Героїв України, 15","096-812-39-34","Завідуюча Шостак Євгенія Анатоліївна","krdnz61@ukr.net",""
"7. 65","Дошкільний навчальний заклад (ясла-садок)  № 62 Кременчуцької міської ради Полтавської області","25166569","вул. Вадима Бойка, 59","5-33-11 ","Завідуюча Івахненко Оксана Владиславівна","krdnz62@ukr.net",""
"7. 66","Дошкільний навчальний заклад (ясла-садок)  № 63 Кременчуцької міської ради Полтавської області","24831036","вул.  Володимира Великого, 50","067-345-47-48","Завідуюча Шамрай Ольга Володимирівна","krdnz63@ukr.net",""
"7. 67","Дошкільний навчальний заклад (ясла-садок)  № 64 Кременчуцької міської ради Полтавської області","25166581","пров. Грозненсь-кий, 22/2","068-740-48-68","Завідуюча Кушніренко Тетяна Миколаївна ","krdnz64@ukr.net",""
"7. 68","Дошкільний навчальний заклад (ясла-садок)  № 65 Кременчуцької міської ради Полтавської області","25166546","вул. Київська, 12-А","5-11-72 ","Завідуюча Тітаренко Наталя Іллівна","krdnz65@ukr.net",""
"7. 69","Дошкільний навчальний заклад (ясла-садок)  № 67 Кременчуцької міської ради Полтавської області","24827951","пров. Сінний, 1-А","78-06-95 ","Завідуюча Тихонова Світлана Михайлівна ","krdnz67@ukr.net",""
"7. 70","Дошкільний навчальний заклад (ясла-садок)  № 68 Кременчуцької міської ради Полтавської області","24828034","Проспект Свободи, 21","068-320-84-19","Завідуюча Ляпка Тетяна Іванівна","krdnz68@ukr.net ",""
"7. 71","Дошкільний навчальний заклад (ясла-садок)  комбінованого типу № 70 Кременчуцької міської ради Полтавської області","25166606","вул. Миру, 9-а","5-12-81 ","Завідуюча Мендус Лідія Павлівна","krdnz70@ukr.net",""
"7. 72","Дошкільний навчальний заклад (ясла-садок)  № 73 Кременчуцької міської ради Полтавської області","24830829","Квт. 274, 7","74-91-55 ","Завідуюча Коваленко Ірина Володимирівна","krdnz73@ukr.net",""
"7. 73","Дошкільний навчальний заклад (ясла-садок)  № 74 Кременчуцької міської ради Полтавської області","25166552","вул. Молодіжна, 25","098-389-09-74","Завідуюча Павленко Лариса Іванівна","krdnz74@ukr.net",""
"7. 74","Дошкільний навчальний заклад (ясла-садок)  № 77 Кременчуцької міської ради Полтавської області","23809483","вул. Мічуріна,70","72-85-22 ","Завідуюча Сороколат Надія Геннадіївна","krdnz77@ukr.net",""
"7. 75","Дошкільний навчальний заклад (ясла-садок)  комбінованого типу № 78 Кременчуцької міської ради Полтавської області","25166517","вул. Миру, 19","097-592-02-16","Завідуюча Якуба Оксана Леонідівна","krdnz78@ukr.net",""
"7. 76","Дошкільний навчальний заклад (ясла-садок)  № 79 Кременчуцької міської ради Полтавської області ","25166492","проспект Лесі Українки, 55-Б ","72-03-50","Завідуюча Ткачук Олена Миколаївна","krdnz79@ukr.net",""
"7. 77","Дошкільний навчальний заклад (ясла-садок) комбінованого типу № 80 Кременчуцької  міської  ради  Полтавської області","24830812","вул. В. Інтерна-ціоналістів, 9","067-869-53-77","Завідуюча Моторна Людмила Миколаївна","krdnz80@ukr.net",""
"7. 78","Дошкільний навчальний заклад (ясла-садок)  № 82 Кременчуцької міської ради Полтавської області","23550453","вул. Європейська, 33","74-71-51","Завідуюча Німченко Людмила Олексіївна","krdnz82@ukr.net",""
"7. 79","Кременчуцький еколого - натуралістичний центр учнівської молоді Кременчуцької міської ради Полтавської області","23553256","Проспект Свободи, 128","77-38-19 ","директор Бєльська Валентина Василівна","kenzum@ ukr.net",""
"7. 80","Кременчуцький міський центр позашкільної освіти Кременчуцької міської ради Полтавської області","23553888","вул. Софіївська, 69-А","72-97-72 
","директор Каракуця Галина Василівна","kmtspo@ukr.net ",""
"7. 81","Кременчуцький міський центр позашкільної освіти «Лідер» Кременчуцької міської ради Полтавської області","25169071","вул. Вадима Бойка, 15","5-36-20 ","Директор Трефілов Валерій Михайлович","texnik08@ukr.net",""
"7. 82","Музей А.С. Макаренка Кременчуцької міської ради Полтавської області","23554008","вул. Макаренка, 44","096-563-99-77","директор Кущенко Наталія В’ячеславівна","muzei1951@ukr.net",""
"7. 83","Кременчуцький міський науково-методичний центр Кременчуцької міської ради Полтавської області","36865004","вул. Софіївська, 69-А","097-604-93-65","директор Никифоренко Олена Миколаївна ","kr.kmnmc@gmail.com",""
"7. 84","Кременчуцький міжшкільний навчально-виробничий комбінат № 2 Кременчуцької міської ради Полтавської області","24827856","вул. Якова Петруся, 140 ","75-00-56","директор Бурмус Іван Борисович","kmnvk2@ukr.net",""
"7. 85","Комунальна установа «Інклюзивно-ресурсний центр № 1» Кременчуцької міської ради","42061542","просп. Свободи, 106","70-03-27","Директор  Яременко Наталія Гафурівна ","natalia.gafurovna@gmail.com",""
"8.","Комунальне підприємство «Кременчуцька міська телерадіокомпанія»","25165311","вул. Генерала Жадова, 12","не вказано","Директор Перепелятник Сергій Леонідович","-",""
"9.","Комунальне виробниче підприємство «Кременчуцьке міське управління капітального будівництва»","04057617","вул. Генерала Жадова, 12","3-41-04
","Начальник Воловик Микола Леонідович ","ukbkremen@ukr.net",""
"10.","Департамент соціального захисту населення  та питань АТО виконавчого комітету Кременчуцької міської ради Полтавської області","34450973","вул. Небесної Сотні, 54","73-94-61 ","Директор  Доценко Марина Миколаївна","34450973@mail.gov.ua",""
"10. 1","Кременчуцький міський Центр комплексної  реабілітації дітей з інвалідністю департаменту соціального захисту населення та питань АТО виконавчого комітету Кременчуцької міської ради Полтавської області ","33589032","вул. Івана Приходька, 21","6-02-98  ","директор Івакіна Юлія Станіславівна","kmzsrdi@gmail.com",""
"10. 2","Територіальний центр соціального обслуговування (надання соціальних послуг) Крюківського району департаменту соціального захисту населення та питань АТО виконавчого комітету Кременчуцької міської ради Полтавської області ","33589069","вул. Івана Приходька, 90","6-13-60 ","директор Миронова Ольга Костянтинівна","33589069@mail.gov.ua",""
"10. 3","Територіальний центр соціального обслуговування (надання соціальних послуг) Автозаводського району департаменту соціального захисту населення та питань АТО виконавчого комітету Кременчуцької міської ради Полтавської області","33255516","Проспект Свободи, 130","77-22-23 ","директор Дзюба Лариса Борисівна","33255516@mail.gov.ua",""
"10. 4","Управління соціального захисту населення Крюківського району департаменту соціального захисту населення та питань АТО виконавчого комітету  Кременчуцької міської ради Полтавської області ","05385878","вул. Івана Приходька, 90","6-01-22 ","начальник  Ревега Людмила Іванівна","05385878@vmail.gov.ua",""
"10. 5","Управління соціального захисту населення Автозаводського району департаменту праці, соціального захисту населення та питань АТО виконавчого комітету  Кременчуцької міської ради Полтавської області","26218015","Проспект Свободи, 66","75-86-84

","начальник Глоба Лідія Миколаївна","26218015@mail.gov.ua",""
"11.","Управління міського майна Кременчуцької міської ради Полтавської області ","13946701","пл. Перемоги, 2","3-50-83 ","Начальник Щербіна Олена Олександрівна","ymmkmrpo@ukr.net",""
"11.1","Комунальне підприємство ""Кременчуцьке міжміське бюро технічної інвентаризації Кременчуцької міської ради Полтавської області""","03351711","вул. Гагаріна, 14","74-30-74 ","В. о. директора Логвин Ольга Костянтинівна","kpkmbti@ukr.net",""
"12.","Управління містобудування та архітектури виконавчого комітету Кременчуцької міської ради","02498790","пл. Перемоги, 2, каб.220","74-18-58 ","Начальник  Волощенко Олександра Григорівна","uma@sat.poltava.ua",""
"12. 1","Комунальне підприємство «Бюро містобудування та кадастру» ","31194292","пл. Перемоги, 2","73-12-82 ","директор Балязін Юрій Миколайович","kpbyuromk@gmail.com",""
"13.","Комунальне госпрозрахункове підприємство «Креміньміськпроект» Кременчуцької міської ради Полтавської області","39043167","вул. Генерала Жадова, 12","3-90-30 ","Директор Мусієнко Павло Михайлович","kreminproekt@ukr.net",""
"14","Управління контролю за станом благоустрою виконавчого комітету Кременчуцької міської ради Полтавської області  ","04057287","пл. Перемоги, 2","74-38-35","Начальник Окунь Володимир Валентинович","blagoustrij@kremen.gov.ua",""
"14. 1","Комунальне підприємство «Міськоформлення»","24831823","вул. Генерала Жадова, 12","3-31-62 ","Директор Кригін Володимир Серафимович ","kpmoform@gmail.com",""
"15","Відділ екологічної безпеки виконавчого комітету Кременчуцької міської ради Полтавської області ","04057287","пл. Перемоги, 2","74-38-43","Начальник відділу Федюн Олексій Михайлович","eko@kremen.gov.ua",""
"15.1","Комунальне підприємство «Науковий центр еколого - соціальних досліджень»","36093016","вул. 29 вересня, 10/24","70-10-76 ","директор Дворецков Віктор Петрович  ","ecology_center_kremen@ukr.net",""
"16.","Управління транспорту виконавчого комітету Кременчуцької міської ради Полтавської області ","04057287","пл. Перемоги, 2","74-39-91 ","Начальник Івашина Руслан Володимирович","transport@kremen.gov.ua",""
"16.1","Комунальне підприємство  «Кременчуцьке тролейбусне управління імені Л.Я. Левітана» ","03328528","вул. Київська, 69","77-77-67","директор Вертюх Олександр Миколайович.","kremen.kty@ukr.net",""
"17.","Фонд підтримки підприємництва","26306363","вул. Першотравнева, 1","3-91-32","директор Усович Ганна Іванівна","В розробці",""
"18.","Управління з питань надзвичайних ситуацій та цивільного захисту населення виконавчого комітету Кременчуцької міської ради   ","23000304","вул. Перемоги, 24/2","73-12-85
","Начальник Чудаков Ігор Віталійович ","uns.kremenchuk@gmail.com",""
"19.","Архівний відділ виконавчого комітету Кременчуцької міської ради","36670597","вул. Ігоря Сердюка, 27","3-40-46  
","Начальник Абаровська Неоніла Григорівна","arhiv@kremen.gov.ua",""
"20.","Департамент фінансів виконавчого комітету Кременчуцької міської ради Полтавської області","02318315","пл. Перемоги, 2","3-11-59 ","Заступник міського голови - директор  Неіленко Тетяна Григорівна","02318315@mail.gov.ua",""
"21.","Комунальне підприємство «Кременчуцький центр міжнародних зв’язків та економічного розвитку міста «Інститут розвитку Кременчука»","38252441","пров. Дмитра Тьомкіна, 4","75-85-85","В.о. директора Бедрацький Павло Валерійович","kremen.invest@gmail.com",""
"22.","Виконавчий комітет Кременчуцької міської ради Полтавської області","04057287","пл. Перемоги, 2","74-30-24
","Керуючий справами виконкому Шаповалов Руслан Васильович","gor@kremen.gov.ua",""
"23.","Регіональний ландшафтний парк «Кагамлицький»","38928060","проспект Свободи, 80","65-30-67","В.о. директора Панов Геннадій Олексійович","rlpkagamlik@ukr.net",""
"24.","Департамент «Центр надання адміністративних послуг у місті Кременчуці»","39635639","вул. Гагаріна,14","75-85-00 ","Директор Печериця Тетяна Володимирівна","cnap@kremen.gov.ua",""
"25.","Комунальне підприємство «Муніципальна варта» Кременчуцької міської ради Полтавської області ","41072883","вул. Лізи Чайкіної, 35","3-10-00","В.о. директора Журба Владислав Вікторович","mupolice@ua",""
"26.","Автозаводська районна адміністрація виконавчого комітету Кременчуцької міської ради  ","40209479","пров. Льва Толстого, 38","(068)180-69-97","Начальник  Заводчікова Наталія Григорівна","avz@avtorayadm-kremen.gov.ua",""
"26.1","Відділ бухгалтерського обліку та звітності Автозаводської районної адміністрації виконавчого комітету Кременчуцької міської ради","","пров. Льва Толстого, 38","096-313-78-30","Завідувач Шастун Ірина Анатоліївна","",""
"26.2","Відділ контролю за станом благоустрою Автозаводської районної адміністрації виконавчого комітету Кременчуцької міської ради","","пров. Льва Толстого, 38","096-314-50-09","Завідувач Артюшевський Геннадій Володимирович","",""
"26.3","Відділ по роботі з населенням Автозаводської районної адміністрації виконавчого комітету Кременчуцької міської ради","","пров. Льва Толстого, 38","5-36-42","Завідувач Калашникова Кристина Євгенівна","",""
"26.4","Відділ ведення Державного реєстру виборців Автозаводської районної адміністрації виконавчого комітету Кременчуцької міської ради","","проспект Свободи, 130","77-66-48","Завідувач Мартиненко Інеса Анатоліїївна","",""
"26.5","Адміністративно-господарський відділ Автозаводської районної адміністрації виконавчого комітету Кременчуцької міської ради","","пров. Льва Толстого, 38","5-34-69","Завідувач Тристан Лариса Василівна","",""
"26.6","Відділ ведення Реєстру територіальної громади Автозаводської районної адміністрації виконавчого комітету Кременчуцької міської ради","","вул.1905 року, 32","75-77-73","Завідувач Марчишина Тетяна Вікторівна","",""
"26.7","Служба у справах дітей Автозаводської районної адміністрації виконавчого комітету Кременчуцької міської ради","","пров. Льва Толстого, 38","096-313-34-66","Начальник Гончар Богдана Богданівна","",""
"27.","Крюківська районна адміністрація виконавчого комітету Кременчуцької міської ради ","40210107","вул. Івана Приходька, 90 ","6-21-24","Начальник Лозовик Дмитро Борисович","kra@krukivadm.gov.ua",""
"27. 1","Відділ по роботі з населенням Крюківської районної адміністрації виконавчого комітету Кременчуцької міської ради","","вул. Івана Приходька, 90","6-20-60","Завідувач Євтушенко Анна Сергіївна","",""
"27. 2","Відділ контролю за станом благоустрою Крюківської районної адміністрації виконавчого комітету Кременчуцької міської ради","","вул. Івана Приходька, 90","6-22-45","Завідувач Онищенко Людмила Миколаївна","",""
"27. 3","Відділ ведення Державного реєстру виборців Крюківської районної адміністрації виконавчого комітету Кременчуцької міської ради","","вул. Івана Приходька, 90","6-00-07","Завідувач Миронюк Петро Олексійович","",""
"27. 4","Відділ бухгалтерського обліку та звітності Крюківської районної адміністрації виконавчого комітету Кременчуцької міської ради","","вул. Івана Приходька, 90","6-22-52","Завідувач Мороз Людмила Юріївна","",""
"27 5","Відділ ведення Реєстру територіальної громади Крюківської районної адміністрації виконавчого комітету Кременчуцької міської ради","","вул. Івана Приходька, 90","6-20-13","Завідувач Амеліна Юлія Вікторівна","",""
"27. 6","Адміністративно-господарський відділ Крюківської районної адміністрації виконавчого комітету Кременчуцької міської ради","","вул. Івана Приходька, 90","6-20-08","Завідувач Биков Олександр Іванович","",""
"27. 7","Служба у справах дітей Крюківської районної адміністрації виконавчого комітету Кременчуцької міської ради","40258348","вул. Івана Приходька, 90","6-21-46","Начальник Тупало Наталія Павлівна","",""
"28.","Управління економіки виконавчого комітету Кременчуцької міської ради ","04057287","пл. Перемоги, 2","74-39-75","Начальник Здойма Микола Васильович","ekon1@kremen.gov. ua",""
"29.","Відділ прес – служби виконавчого комітету Кременчуцької міської ради ","04057287","пл. Перемоги, 2","74-38-58","Начальник  Перепелятник Юлія Миколаївна","pressa@kremen.gov. ua",""
"30.","Відділ енергоменеджменту та енергетики виконавчого комітету Кременчуцької міської ради Полтавської області","04057287","пл. Перемоги, 2 каб. 206","74-38-64","В.о. начальника Потапов Антон Леонідович","energy@kremen.gov. ua",""
"30.1","Комунальне підприємство «Кременчуцька Муніципальна Енергосервісна Компанія» Кременчуцької міської ради Полтавської області","41825801","Вул. Генерала Жадова, буд. 12","75-77-15","Директор Качан Вадим Володимирович","kpkmec@ukr.net",""
"31.","Юридичний департамент виконавчого комітету Кременчуцької міської ради Полтавської області","04057287","пл. Перемоги, 2","74-38-59 ","Директор Мирошніченко Валерій Вікторович","yurdepartament@kremen.gov.ua ",""
"32.","Управління земельних ресурсів виконавчого комітету Кременчуцької міської ради Полтавської області  ","04057287","пл. Перемоги, 2","74-32-73 ","Начальник Безверха Ірина Олександрівна","zemlekor@kremen.gov.ua",""
"33.","Відділ інформаційно - комп’ютерних технологій виконавчого комітету Кременчуцької міської ради ","04057287","пл. Перемоги, 2","74-39-29","Начальник відділу  Рассоха Ігор  Олегович","support@kremen.gov.ua",""
"34.","Управління бухгалтерського обліку та звітності виконавчого комітету Кременчуцької міської ради Полтавської області ","04057287","пл. Перемоги, 2, каб. 533","74-38-44","Начальник Мельникова Наталя Євгенівна","buhgalteria@kremen.gov.ua",""
"35.","Адміністративно - господарський відділ  виконавчого комітету Кременчуцької міської ради Полтавської області ","04057287","пл. Перемоги, 2, каб. 115","74-35-23","В.о. начальника Іванченко Марія Андріївна","agv@kremen.gov.ua",""
"36.","Управління по роботі з документами виконавчого комітету Кременчуцької міської ради Полтавської області","04057287","пл. Перемоги, 2, каб. 116","74-39-74","Начальник Сидорок Наталія Борисівна","gor@kremen.gov.ua",""
"37.","Управління по роботі зі зверненнями громадян виконавчого комітету Кременчуцької міської ради Полтавської області","04057287","пл. Перемоги, 2 , каб. 125-127","74-38-32","Начальник Ілюхіна Любов Петрівна","skargu@kremen.gov.ua",""
"38.","Апарат міського голови виконавчого комітету Кременчуцької міської ради Полтавської області ","04057287","пл. Перемоги, 2, каб. 301","74-39-85","Начальник Пищита Світлана Миколаївна","amg@kremen.gov.ua",""
"39.","Управління забезпечення діяльності ради виконавчого комітету Кременчуцької міської ради Полтавської області","04057287","пл. Перемоги, 2, каб. 101-105","74-39-78","Начальник Карпенко Наталія Василівна","rada@kremen.gov.ua",""
"40.","Відділ оперативного контролю за станом в місті виконавчого комітету Кременчуцької міської ради  Полтавської області  ","04057287","пл. Перемоги, 2, "," 74-39-88","Начальник Войтенко Юрій Леонідович","kontrol@kremen.gov.ua",""
"41.","Управління державного архітектурно-будівельного контролю Кременчуцької міської ради Полтавської області  ","41250664","пл. Перемоги, 2","70-02-16","Начальник Тарасова Юлія Вікторівна","41250664@mail.gov.ua",""
"42.","Відділ з питань внутрішньої політики апарату міського голови виконавчого комітету Кременчуцької міської ради Полтавської області","04057287","пл. Перемоги, 2","74-38-47","Начальник Багмет Анна Сергіївна","sektor-vp@kremen.gov.ua",""
"43.","Відділ внутрішнього контролю та аудиту виконавчого комітету Кременчуцької міської ради Полтавської області","04057287","вул. Миколаївсь- ка, 9","74-38-70","Начальник Карбан  Тетяна Григорівна","audit@kremen.gov.ua",""
"44.","Відділ забезпечення діяльності керівництва апарату міського голови виконавчого комітету Кременчуцької міської ради Полтавської області","04057287","вул. Перемоги, 2","73-00-34","Начальник Самчук  Аліна Іванівна","-",""
"45.","Відділ з питань кадрової роботи виконавчого комітету Кременчуцької міської ради Полтавської області","04057287","вул. Перемоги, 2","74-39-73","Начальник Дзюба Алла Михайлівна","kadru@kremen.gov.ua",""
"46.","Департамент державної реєстрації виконавчого комітету Кременчуцької міської ради Полтавської області ","04057287","вул. Ігоря Сердюка, 27","74-38-68
","Директор Проценко Наталія Костянтинівна","ddr@kremen.gov.ua",""
"47.","Організаційно - контрольний відділ апарату міського голови виконавчого комітету Кременчуцької міської ради Полтавської області","04057287","вул. Перемоги, 2","74-39-89","Начальник Безугла Ольга Володимирівна","orgvid@kremen.gov. ua",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
